delta,trial,S_count,I_count,R_count,S_proportion,I_proportion,R_proportion
0.0,0,40,0,0,1.0,0.0,0.0
0.0,1,40,0,0,1.0,0.0,0.0
0.0,2,24,15,1,0.6,0.375,0.025
0.0,3,40,0,0,1.0,0.0,0.0
0.0,4,8,27,5,0.2,0.675,0.125
0.0,5,40,0,0,1.0,0.0,0.0
0.0,6,40,0,0,1.0,0.0,0.0
0.0,7,13,25,2,0.325,0.625,0.05
0.0,8,16,22,2,0.4,0.55,0.05
0.0,9,30,9,1,0.75,0.225,0.025
0.0,10,21,17,2,0.525,0.425,0.05
0.0,11,14,23,3,0.35,0.575,0.075
0.0,12,14,22,4,0.35,0.55,0.1
0.0,13,40,0,0,1.0,0.0,0.0
0.0,14,16,23,1,0.4,0.575,0.025
0.0,15,16,18,6,0.4,0.45,0.15
0.0,16,22,15,3,0.55,0.375,0.075
0.0,17,24,14,2,0.6,0.35,0.05
0.0,18,40,0,0,1.0,0.0,0.0
0.0,19,40,0,0,1.0,0.0,0.0
0.0,20,23,14,3,0.575,0.35,0.075
0.0,21,17,21,2,0.425,0.525,0.05
0.0,22,15,23,2,0.375,0.575,0.05
0.0,23,22,15,3,0.55,0.375,0.075
0.0,24,8,30,2,0.2,0.75,0.05
0.0,25,15,22,3,0.375,0.55,0.075
0.0,26,40,0,0,1.0,0.0,0.0
0.0,27,40,0,0,1.0,0.0,0.0
0.0,28,23,17,0,0.575,0.425,0.0
0.0,29,40,0,0,1.0,0.0,0.0
0.0,30,6,29,5,0.15,0.725,0.125
0.0,31,16,23,1,0.4,0.575,0.025
0.0,32,28,10,2,0.7,0.25,0.05
0.0,33,20,19,1,0.5,0.475,0.025
0.0,34,18,21,1,0.45,0.525,0.025
0.0,35,19,19,2,0.475,0.475,0.05
0.0,36,18,21,1,0.45,0.525,0.025
0.0,37,19,20,1,0.475,0.5,0.025
0.0,38,17,20,3,0.425,0.5,0.075
0.0,39,11,27,2,0.275,0.675,0.05
0.0,40,6,31,3,0.15,0.775,0.075
0.0,41,24,14,2,0.6,0.35,0.05
0.0,42,13,26,1,0.325,0.65,0.025
0.0,43,14,22,4,0.35,0.55,0.1
0.0,44,24,14,2,0.6,0.35,0.05
0.0,45,9,24,7,0.225,0.6,0.175
0.0,46,23,17,0,0.575,0.425,0.0
0.0,47,16,19,5,0.4,0.475,0.125
0.0,48,18,18,4,0.45,0.45,0.1
0.0,49,15,22,3,0.375,0.55,0.075
0.0,50,15,20,5,0.375,0.5,0.125
0.0,51,24,14,2,0.6,0.35,0.05
0.0,52,17,18,5,0.425,0.45,0.125
0.0,53,23,17,0,0.575,0.425,0.0
0.0,54,29,10,1,0.725,0.25,0.025
0.0,55,40,0,0,1.0,0.0,0.0
0.0,56,9,29,2,0.225,0.725,0.05
0.0,57,11,24,5,0.275,0.6,0.125
0.0,58,40,0,0,1.0,0.0,0.0
0.0,59,23,17,0,0.575,0.425,0.0
0.0,60,12,25,3,0.3,0.625,0.075
0.0,61,15,23,2,0.375,0.575,0.05
0.0,62,40,0,0,1.0,0.0,0.0
0.0,63,17,20,3,0.425,0.5,0.075
0.0,64,26,14,0,0.65,0.35,0.0
0.0,65,40,0,0,1.0,0.0,0.0
0.0,66,31,8,1,0.775,0.2,0.025
0.0,67,8,27,5,0.2,0.675,0.125
0.0,68,40,0,0,1.0,0.0,0.0
0.0,69,40,0,0,1.0,0.0,0.0
0.0,70,40,0,0,1.0,0.0,0.0
0.0,71,23,17,0,0.575,0.425,0.0
0.0,72,10,25,5,0.25,0.625,0.125
0.0,73,40,0,0,1.0,0.0,0.0
0.0,74,26,14,0,0.65,0.35,0.0
0.0,75,12,27,1,0.3,0.675,0.025
0.0,76,10,28,2,0.25,0.7,0.05
0.0,77,16,22,2,0.4,0.55,0.05
0.0,78,6,27,7,0.15,0.675,0.175
0.0,79,10,28,2,0.25,0.7,0.05
0.0,80,40,0,0,1.0,0.0,0.0
0.0,81,40,0,0,1.0,0.0,0.0
0.0,82,26,11,3,0.65,0.275,0.075
0.0,83,23,16,1,0.575,0.4,0.025
0.0,84,13,25,2,0.325,0.625,0.05
0.0,85,15,22,3,0.375,0.55,0.075
0.0,86,24,15,1,0.6,0.375,0.025
0.0,87,18,19,3,0.45,0.475,0.075
0.0,88,17,22,1,0.425,0.55,0.025
0.0,89,17,21,2,0.425,0.525,0.05
0.0,90,40,0,0,1.0,0.0,0.0
0.0,91,22,16,2,0.55,0.4,0.05
0.0,92,16,22,2,0.4,0.55,0.05
0.0,93,40,0,0,1.0,0.0,0.0
0.0,94,16,22,2,0.4,0.55,0.05
0.0,95,17,20,3,0.425,0.5,0.075
0.0,96,40,0,0,1.0,0.0,0.0
0.0,97,16,24,0,0.4,0.6,0.0
0.0,98,40,0,0,1.0,0.0,0.0
0.0,99,40,0,0,1.0,0.0,0.0
0.5,0,24,16,0,0.6,0.4,0.0
0.5,1,23,14,3,0.575,0.35,0.075
0.5,2,40,0,0,1.0,0.0,0.0
0.5,3,22,16,2,0.55,0.4,0.05
0.5,4,11,26,3,0.275,0.65,0.075
0.5,5,14,21,5,0.35,0.525,0.125
0.5,6,40,0,0,1.0,0.0,0.0
0.5,7,40,0,0,1.0,0.0,0.0
0.5,8,16,21,3,0.4,0.525,0.075
0.5,9,7,31,2,0.175,0.775,0.05
0.5,10,40,0,0,1.0,0.0,0.0
0.5,11,21,18,1,0.525,0.45,0.025
0.5,12,28,12,0,0.7,0.3,0.0
0.5,13,40,0,0,1.0,0.0,0.0
0.5,14,17,21,2,0.425,0.525,0.05
0.5,15,40,0,0,1.0,0.0,0.0
0.5,16,17,23,0,0.425,0.575,0.0
0.5,17,40,0,0,1.0,0.0,0.0
0.5,18,13,24,3,0.325,0.6,0.075
0.5,19,22,18,0,0.55,0.45,0.0
0.5,20,4,30,6,0.1,0.75,0.15
0.5,21,40,0,0,1.0,0.0,0.0
0.5,22,15,20,5,0.375,0.5,0.125
0.5,23,22,16,2,0.55,0.4,0.05
0.5,24,40,0,0,1.0,0.0,0.0
0.5,25,25,15,0,0.625,0.375,0.0
0.5,26,40,0,0,1.0,0.0,0.0
0.5,27,20,18,2,0.5,0.45,0.05
0.5,28,18,20,2,0.45,0.5,0.05
0.5,29,20,18,2,0.5,0.45,0.05
0.5,30,19,18,3,0.475,0.45,0.075
0.5,31,9,29,2,0.225,0.725,0.05
0.5,32,13,24,3,0.325,0.6,0.075
0.5,33,27,11,2,0.675,0.275,0.05
0.5,34,23,15,2,0.575,0.375,0.05
0.5,35,22,15,3,0.55,0.375,0.075
0.5,36,22,16,2,0.55,0.4,0.05
0.5,37,40,0,0,1.0,0.0,0.0
0.5,38,17,20,3,0.425,0.5,0.075
0.5,39,40,0,0,1.0,0.0,0.0
0.5,40,21,18,1,0.525,0.45,0.025
0.5,41,19,21,0,0.475,0.525,0.0
0.5,42,17,23,0,0.425,0.575,0.0
0.5,43,13,23,4,0.325,0.575,0.1
0.5,44,21,17,2,0.525,0.425,0.05
0.5,45,40,0,0,1.0,0.0,0.0
0.5,46,12,25,3,0.3,0.625,0.075
0.5,47,10,25,5,0.25,0.625,0.125
0.5,48,40,0,0,1.0,0.0,0.0
0.5,49,10,26,4,0.25,0.65,0.1
0.5,50,40,0,0,1.0,0.0,0.0
0.5,51,18,19,3,0.45,0.475,0.075
0.5,52,40,0,0,1.0,0.0,0.0
0.5,53,25,14,1,0.625,0.35,0.025
0.5,54,19,19,2,0.475,0.475,0.05
0.5,55,31,8,1,0.775,0.2,0.025
0.5,56,40,0,0,1.0,0.0,0.0
0.5,57,40,0,0,1.0,0.0,0.0
0.5,58,40,0,0,1.0,0.0,0.0
0.5,59,18,22,0,0.45,0.55,0.0
0.5,60,17,19,4,0.425,0.475,0.1
0.5,61,9,28,3,0.225,0.7,0.075
0.5,62,16,21,3,0.4,0.525,0.075
0.5,63,16,18,6,0.4,0.45,0.15
0.5,64,17,20,3,0.425,0.5,0.075
0.5,65,40,0,0,1.0,0.0,0.0
0.5,66,24,15,1,0.6,0.375,0.025
0.5,67,29,9,2,0.725,0.225,0.05
0.5,68,40,0,0,1.0,0.0,0.0
0.5,69,40,0,0,1.0,0.0,0.0
0.5,70,29,10,1,0.725,0.25,0.025
0.5,71,18,21,1,0.45,0.525,0.025
0.5,72,28,12,0,0.7,0.3,0.0
0.5,73,17,19,4,0.425,0.475,0.1
0.5,74,14,21,5,0.35,0.525,0.125
0.5,75,24,14,2,0.6,0.35,0.05
0.5,76,29,8,3,0.725,0.2,0.075
0.5,77,17,20,3,0.425,0.5,0.075
0.5,78,24,14,2,0.6,0.35,0.05
0.5,79,7,29,4,0.175,0.725,0.1
0.5,80,40,0,0,1.0,0.0,0.0
0.5,81,17,21,2,0.425,0.525,0.05
0.5,82,23,15,2,0.575,0.375,0.05
0.5,83,11,25,4,0.275,0.625,0.1
0.5,84,25,13,2,0.625,0.325,0.05
0.5,85,20,19,1,0.5,0.475,0.025
0.5,86,40,0,0,1.0,0.0,0.0
0.5,87,25,14,1,0.625,0.35,0.025
0.5,88,15,21,4,0.375,0.525,0.1
0.5,89,27,9,4,0.675,0.225,0.1
0.5,90,11,27,2,0.275,0.675,0.05
0.5,91,40,0,0,1.0,0.0,0.0
0.5,92,26,13,1,0.65,0.325,0.025
0.5,93,19,20,1,0.475,0.5,0.025
0.5,94,13,24,3,0.325,0.6,0.075
0.5,95,40,0,0,1.0,0.0,0.0
0.5,96,13,24,3,0.325,0.6,0.075
0.5,97,18,20,2,0.45,0.5,0.05
0.5,98,24,15,1,0.6,0.375,0.025
0.5,99,24,15,1,0.6,0.375,0.025
1.0,0,19,21,0,0.475,0.525,0.0
1.0,1,40,0,0,1.0,0.0,0.0
1.0,2,7,32,1,0.175,0.8,0.025
1.0,3,40,0,0,1.0,0.0,0.0
1.0,4,11,26,3,0.275,0.65,0.075
1.0,5,21,17,2,0.525,0.425,0.05
1.0,6,20,19,1,0.5,0.475,0.025
1.0,7,16,22,2,0.4,0.55,0.05
1.0,8,40,0,0,1.0,0.0,0.0
1.0,9,8,30,2,0.2,0.75,0.05
1.0,10,40,0,0,1.0,0.0,0.0
1.0,11,27,13,0,0.675,0.325,0.0
1.0,12,21,17,2,0.525,0.425,0.05
1.0,13,22,14,4,0.55,0.35,0.1
1.0,14,40,0,0,1.0,0.0,0.0
1.0,15,13,23,4,0.325,0.575,0.1
1.0,16,21,17,2,0.525,0.425,0.05
1.0,17,16,20,4,0.4,0.5,0.1
1.0,18,25,13,2,0.625,0.325,0.05
1.0,19,15,21,4,0.375,0.525,0.1
1.0,20,22,18,0,0.55,0.45,0.0
1.0,21,9,28,3,0.225,0.7,0.075
1.0,22,17,20,3,0.425,0.5,0.075
1.0,23,40,0,0,1.0,0.0,0.0
1.0,24,9,28,3,0.225,0.7,0.075
1.0,25,13,25,2,0.325,0.625,0.05
1.0,26,40,0,0,1.0,0.0,0.0
1.0,27,9,26,5,0.225,0.65,0.125
1.0,28,16,24,0,0.4,0.6,0.0
1.0,29,10,29,1,0.25,0.725,0.025
1.0,30,24,15,1,0.6,0.375,0.025
1.0,31,40,0,0,1.0,0.0,0.0
1.0,32,15,21,4,0.375,0.525,0.1
1.0,33,9,29,2,0.225,0.725,0.05
1.0,34,16,21,3,0.4,0.525,0.075
1.0,35,30,7,3,0.75,0.175,0.075
1.0,36,40,0,0,1.0,0.0,0.0
1.0,37,40,0,0,1.0,0.0,0.0
1.0,38,14,25,1,0.35,0.625,0.025
1.0,39,19,20,1,0.475,0.5,0.025
1.0,40,22,17,1,0.55,0.425,0.025
1.0,41,40,0,0,1.0,0.0,0.0
1.0,42,21,16,3,0.525,0.4,0.075
1.0,43,10,26,4,0.25,0.65,0.1
1.0,44,40,0,0,1.0,0.0,0.0
1.0,45,18,19,3,0.45,0.475,0.075
1.0,46,40,0,0,1.0,0.0,0.0
1.0,47,12,25,3,0.3,0.625,0.075
1.0,48,40,0,0,1.0,0.0,0.0
1.0,49,40,0,0,1.0,0.0,0.0
1.0,50,40,0,0,1.0,0.0,0.0
1.0,51,15,20,5,0.375,0.5,0.125
1.0,52,21,16,3,0.525,0.4,0.075
1.0,53,15,20,5,0.375,0.5,0.125
1.0,54,14,25,1,0.35,0.625,0.025
1.0,55,17,18,5,0.425,0.45,0.125
1.0,56,13,24,3,0.325,0.6,0.075
1.0,57,17,21,2,0.425,0.525,0.05
1.0,58,18,19,3,0.45,0.475,0.075
1.0,59,24,14,2,0.6,0.35,0.05
1.0,60,15,24,1,0.375,0.6,0.025
1.0,61,26,14,0,0.65,0.35,0.0
1.0,62,10,28,2,0.25,0.7,0.05
1.0,63,40,0,0,1.0,0.0,0.0
1.0,64,21,17,2,0.525,0.425,0.05
1.0,65,29,9,2,0.725,0.225,0.05
1.0,66,13,26,1,0.325,0.65,0.025
1.0,67,11,21,8,0.275,0.525,0.2
1.0,68,40,0,0,1.0,0.0,0.0
1.0,69,40,0,0,1.0,0.0,0.0
1.0,70,23,17,0,0.575,0.425,0.0
1.0,71,17,18,5,0.425,0.45,0.125
1.0,72,18,19,3,0.45,0.475,0.075
1.0,73,40,0,0,1.0,0.0,0.0
1.0,74,19,19,2,0.475,0.475,0.05
1.0,75,9,29,2,0.225,0.725,0.05
1.0,76,16,20,4,0.4,0.5,0.1
1.0,77,28,11,1,0.7,0.275,0.025
1.0,78,17,18,5,0.425,0.45,0.125
1.0,79,11,24,5,0.275,0.6,0.125
1.0,80,40,0,0,1.0,0.0,0.0
1.0,81,40,0,0,1.0,0.0,0.0
1.0,82,20,17,3,0.5,0.425,0.075
1.0,83,21,18,1,0.525,0.45,0.025
1.0,84,9,24,7,0.225,0.6,0.175
1.0,85,40,0,0,1.0,0.0,0.0
1.0,86,21,17,2,0.525,0.425,0.05
1.0,87,13,23,4,0.325,0.575,0.1
1.0,88,40,0,0,1.0,0.0,0.0
1.0,89,14,22,4,0.35,0.55,0.1
1.0,90,40,0,0,1.0,0.0,0.0
1.0,91,14,24,2,0.35,0.6,0.05
1.0,92,20,19,1,0.5,0.475,0.025
1.0,93,12,26,2,0.3,0.65,0.05
1.0,94,15,24,1,0.375,0.6,0.025
1.0,95,15,24,1,0.375,0.6,0.025
1.0,96,12,25,3,0.3,0.625,0.075
1.0,97,10,29,1,0.25,0.725,0.025
1.0,98,40,0,0,1.0,0.0,0.0
1.0,99,40,0,0,1.0,0.0,0.0
1.5,0,24,14,2,0.6,0.35,0.05
1.5,1,18,16,6,0.45,0.4,0.15
1.5,2,22,14,4,0.55,0.35,0.1
1.5,3,18,17,5,0.45,0.425,0.125
1.5,4,18,20,2,0.45,0.5,0.05
1.5,5,11,22,7,0.275,0.55,0.175
1.5,6,26,13,1,0.65,0.325,0.025
1.5,7,40,0,0,1.0,0.0,0.0
1.5,8,15,19,6,0.375,0.475,0.15
1.5,9,15,22,3,0.375,0.55,0.075
1.5,10,27,11,2,0.675,0.275,0.05
1.5,11,24,14,2,0.6,0.35,0.05
1.5,12,40,0,0,1.0,0.0,0.0
1.5,13,15,19,6,0.375,0.475,0.15
1.5,14,40,0,0,1.0,0.0,0.0
1.5,15,9,24,7,0.225,0.6,0.175
1.5,16,40,0,0,1.0,0.0,0.0
1.5,17,10,23,7,0.25,0.575,0.175
1.5,18,29,8,3,0.725,0.2,0.075
1.5,19,23,13,4,0.575,0.325,0.1
1.5,20,10,24,6,0.25,0.6,0.15
1.5,21,24,16,0,0.6,0.4,0.0
1.5,22,23,15,2,0.575,0.375,0.05
1.5,23,18,16,6,0.45,0.4,0.15
1.5,24,10,23,7,0.25,0.575,0.175
1.5,25,13,21,6,0.325,0.525,0.15
1.5,26,40,0,0,1.0,0.0,0.0
1.5,27,40,0,0,1.0,0.0,0.0
1.5,28,40,0,0,1.0,0.0,0.0
1.5,29,12,23,5,0.3,0.575,0.125
1.5,30,40,0,0,1.0,0.0,0.0
1.5,31,14,21,5,0.35,0.525,0.125
1.5,32,40,0,0,1.0,0.0,0.0
1.5,33,17,19,4,0.425,0.475,0.1
1.5,34,40,0,0,1.0,0.0,0.0
1.5,35,20,17,3,0.5,0.425,0.075
1.5,36,40,0,0,1.0,0.0,0.0
1.5,37,40,0,0,1.0,0.0,0.0
1.5,38,10,25,5,0.25,0.625,0.125
1.5,39,14,21,5,0.35,0.525,0.125
1.5,40,17,18,5,0.425,0.45,0.125
1.5,41,10,26,4,0.25,0.65,0.1
1.5,42,8,26,6,0.2,0.65,0.15
1.5,43,16,16,8,0.4,0.4,0.2
1.5,44,14,21,5,0.35,0.525,0.125
1.5,45,14,20,6,0.35,0.5,0.15
1.5,46,17,18,5,0.425,0.45,0.125
1.5,47,23,14,3,0.575,0.35,0.075
1.5,48,18,21,1,0.45,0.525,0.025
1.5,49,24,12,4,0.6,0.3,0.1
1.5,50,19,17,4,0.475,0.425,0.1
1.5,51,24,13,3,0.6,0.325,0.075
1.5,52,40,0,0,1.0,0.0,0.0
1.5,53,22,17,1,0.55,0.425,0.025
1.5,54,18,16,6,0.45,0.4,0.15
1.5,55,19,20,1,0.475,0.5,0.025
1.5,56,40,0,0,1.0,0.0,0.0
1.5,57,22,16,2,0.55,0.4,0.05
1.5,58,28,10,2,0.7,0.25,0.05
1.5,59,31,7,2,0.775,0.175,0.05
1.5,60,40,0,0,1.0,0.0,0.0
1.5,61,12,22,6,0.3,0.55,0.15
1.5,62,26,10,4,0.65,0.25,0.1
1.5,63,11,25,4,0.275,0.625,0.1
1.5,64,31,7,2,0.775,0.175,0.05
1.5,65,40,0,0,1.0,0.0,0.0
1.5,66,40,0,0,1.0,0.0,0.0
1.5,67,25,12,3,0.625,0.3,0.075
1.5,68,32,7,1,0.8,0.175,0.025
1.5,69,40,0,0,1.0,0.0,0.0
1.5,70,16,17,7,0.4,0.425,0.175
1.5,71,19,18,3,0.475,0.45,0.075
1.5,72,27,11,2,0.675,0.275,0.05
1.5,73,15,19,6,0.375,0.475,0.15
1.5,74,40,0,0,1.0,0.0,0.0
1.5,75,18,17,5,0.45,0.425,0.125
1.5,76,14,19,7,0.35,0.475,0.175
1.5,77,24,11,5,0.6,0.275,0.125
1.5,78,19,15,6,0.475,0.375,0.15
1.5,79,19,15,6,0.475,0.375,0.15
1.5,80,20,19,1,0.5,0.475,0.025
1.5,81,27,9,4,0.675,0.225,0.1
1.5,82,19,18,3,0.475,0.45,0.075
1.5,83,40,0,0,1.0,0.0,0.0
1.5,84,21,17,2,0.525,0.425,0.05
1.5,85,40,0,0,1.0,0.0,0.0
1.5,86,23,13,4,0.575,0.325,0.1
1.5,87,20,16,4,0.5,0.4,0.1
1.5,88,20,18,2,0.5,0.45,0.05
1.5,89,13,24,3,0.325,0.6,0.075
1.5,90,27,9,4,0.675,0.225,0.1
1.5,91,17,18,5,0.425,0.45,0.125
1.5,92,14,21,5,0.35,0.525,0.125
1.5,93,22,15,3,0.55,0.375,0.075
1.5,94,17,17,6,0.425,0.425,0.15
1.5,95,40,0,0,1.0,0.0,0.0
1.5,96,40,0,0,1.0,0.0,0.0
1.5,97,31,9,0,0.775,0.225,0.0
1.5,98,29,11,0,0.725,0.275,0.0
1.5,99,16,21,3,0.4,0.525,0.075
2.0,0,19,19,2,0.475,0.475,0.05
2.0,1,40,0,0,1.0,0.0,0.0
2.0,2,40,0,0,1.0,0.0,0.0
2.0,3,12,26,2,0.3,0.65,0.05
2.0,4,40,0,0,1.0,0.0,0.0
2.0,5,40,0,0,1.0,0.0,0.0
2.0,6,20,19,1,0.5,0.475,0.025
2.0,7,32,6,2,0.8,0.15,0.05
2.0,8,40,0,0,1.0,0.0,0.0
2.0,9,19,16,5,0.475,0.4,0.125
2.0,10,15,23,2,0.375,0.575,0.05
2.0,11,22,15,3,0.55,0.375,0.075
2.0,12,8,30,2,0.2,0.75,0.05
2.0,13,40,0,0,1.0,0.0,0.0
2.0,14,40,0,0,1.0,0.0,0.0
2.0,15,40,0,0,1.0,0.0,0.0
2.0,16,9,26,5,0.225,0.65,0.125
2.0,17,19,17,4,0.475,0.425,0.1
2.0,18,19,19,2,0.475,0.475,0.05
2.0,19,33,4,3,0.825,0.1,0.075
2.0,20,40,0,0,1.0,0.0,0.0
2.0,21,14,22,4,0.35,0.55,0.1
2.0,22,23,14,3,0.575,0.35,0.075
2.0,23,14,23,3,0.35,0.575,0.075
2.0,24,13,21,6,0.325,0.525,0.15
2.0,25,40,0,0,1.0,0.0,0.0
2.0,26,40,0,0,1.0,0.0,0.0
2.0,27,40,0,0,1.0,0.0,0.0
2.0,28,17,18,5,0.425,0.45,0.125
2.0,29,28,10,2,0.7,0.25,0.05
2.0,30,40,0,0,1.0,0.0,0.0
2.0,31,17,14,9,0.425,0.35,0.225
2.0,32,20,18,2,0.5,0.45,0.05
2.0,33,18,16,6,0.45,0.4,0.15
2.0,34,20,16,4,0.5,0.4,0.1
2.0,35,19,17,4,0.475,0.425,0.1
2.0,36,15,22,3,0.375,0.55,0.075
2.0,37,8,28,4,0.2,0.7,0.1
2.0,38,21,18,1,0.525,0.45,0.025
2.0,39,23,14,3,0.575,0.35,0.075
2.0,40,40,0,0,1.0,0.0,0.0
2.0,41,14,19,7,0.35,0.475,0.175
2.0,42,20,20,0,0.5,0.5,0.0
2.0,43,28,9,3,0.7,0.225,0.075
2.0,44,21,16,3,0.525,0.4,0.075
2.0,45,18,16,6,0.45,0.4,0.15
2.0,46,18,17,5,0.45,0.425,0.125
2.0,47,13,20,7,0.325,0.5,0.175
2.0,48,12,20,8,0.3,0.5,0.2
2.0,49,21,18,1,0.525,0.45,0.025
2.0,50,33,5,2,0.825,0.125,0.05
2.0,51,40,0,0,1.0,0.0,0.0
2.0,52,22,16,2,0.55,0.4,0.05
2.0,53,40,0,0,1.0,0.0,0.0
2.0,54,8,26,6,0.2,0.65,0.15
2.0,55,12,20,8,0.3,0.5,0.2
2.0,56,9,26,5,0.225,0.65,0.125
2.0,57,25,11,4,0.625,0.275,0.1
2.0,58,10,22,8,0.25,0.55,0.2
2.0,59,40,0,0,1.0,0.0,0.0
2.0,60,13,21,6,0.325,0.525,0.15
2.0,61,40,0,0,1.0,0.0,0.0
2.0,62,8,25,7,0.2,0.625,0.175
2.0,63,22,13,5,0.55,0.325,0.125
2.0,64,25,13,2,0.625,0.325,0.05
2.0,65,24,13,3,0.6,0.325,0.075
2.0,66,29,7,4,0.725,0.175,0.1
2.0,67,20,15,5,0.5,0.375,0.125
2.0,68,11,22,7,0.275,0.55,0.175
2.0,69,40,0,0,1.0,0.0,0.0
2.0,70,19,15,6,0.475,0.375,0.15
2.0,71,27,9,4,0.675,0.225,0.1
2.0,72,11,20,9,0.275,0.5,0.225
2.0,73,30,9,1,0.75,0.225,0.025
2.0,74,17,22,1,0.425,0.55,0.025
2.0,75,34,5,1,0.85,0.125,0.025
2.0,76,27,9,4,0.675,0.225,0.1
2.0,77,40,0,0,1.0,0.0,0.0
2.0,78,40,0,0,1.0,0.0,0.0
2.0,79,40,0,0,1.0,0.0,0.0
2.0,80,18,19,3,0.45,0.475,0.075
2.0,81,25,11,4,0.625,0.275,0.1
2.0,82,10,23,7,0.25,0.575,0.175
2.0,83,13,21,6,0.325,0.525,0.15
2.0,84,26,11,3,0.65,0.275,0.075
2.0,85,21,17,2,0.525,0.425,0.05
2.0,86,29,11,0,0.725,0.275,0.0
2.0,87,22,16,2,0.55,0.4,0.05
2.0,88,40,0,0,1.0,0.0,0.0
2.0,89,14,20,6,0.35,0.5,0.15
2.0,90,40,0,0,1.0,0.0,0.0
2.0,91,22,17,1,0.55,0.425,0.025
2.0,92,40,0,0,1.0,0.0,0.0
